ST	penA	mtrR	porB	ponA	gyrA	parC	23S
198	285	25	16	1	100	2	100
199	288	1	8	1	7	3	100
200	291	16	13	1	7	3	100
201	287	19	8	1	1	9	100
202	23	19	8	1	7	3	1
203	287	1	8	1	7	15	2
204	285	1	8	1	1	15	100
205	1323	25	1	100	100	2	100
206	18	13	100	100	100	1	100
207	23	11	100	100	100	2	100
208	166	1	13	1	1	3	100
209	21	1	3	1	1	3	100
210	166	27	1	100	100	100	2
211	166	39	100	100	100	100	100
212	166	39	14	100	100	100	100
213	166	39	1	100	100	100	100
214	1550	3	1	100	100	2	2
215	17	5	11	100	100	1	100
216	166	48	100	100	100	19	10
217	294	49	3	100	7	20	100
218	288	2	8	1	1	3	100
219	166	46	1	100	100	1	100
220	1533	16	3	1	100	2	100
221	290	47	8	1	7	21	100
222	1147	1	100	1	100	2	2
223	166	9	1	100	100	100	1
224	166	50	1	1	100	1	2
225	288	1	8	1	1	3	1
226	545	1	8	1	2	5	100
227	1551	51	8	1	2	5	100
228	294	10	10	100	100	1	100
229	23	10	100	100	1	3	100
230	1520	15	100	100	100	7	100
231	23	42	100	100	10	2	100
232	14	25	12	1	2	5	100
233	1548	1	8	1	7	3	100
234	20	5	1	100	100	2	100
235	20	25	5	1	100	2	100
236	228	19	5	100	100	1	100
237	18	5	100	100	100	1	100
238	20	19	14	1	100	2	100
239	20	25	100	100	100	1	100
240	166	25	1	100	100	100	100
241	166	9	3	100	1	3	100
242	166	1	11	100	100	100	100
243	21	19	11	1	100	1	100
244	166	2	8	100	100	100	100
245	166	9	3	1	100	100	100
246	166	1	1	100	100	100	100
247	228	38	12	1	7	15	100
248	228	38	3	1	7	15	100
249	228	38	1	1	7	3	100
250	266	1	3	1	1	3	100
251	266	25	1	100	100	100	100
252	290	1	12	1	1	3	100
253	23	1	1	1	1	3	100
254	266	1	12	1	1	3	100
255	266	2	8	1	1	3	100
256	266	1	14	1	1	3	100
257	288	50	8	1	1	3	100
258	288	1	9	1	1	3	100
259	284	19	11	1	100	1	100
260	288	1	4	1	1	3	100
261	20	25	1	1	6	1	100
262	21	1	8	1	100	3	100
263	21	19	8	4	1	3	100
264	288	1	3	1	1	3	100
