ST	penA	mtrR	porB	ponA	gyrA	parC	23S
963	17	175	100	100	100	1	100
964	17	171	100	100	100	1	19
965	1936	9	3	100	100	100	100
966	294	10	13	100	7	64	100
967	228	25	12	1	7	65	100
968	228	166	3	1	7	61	100
969	228	166	11	1	7	61	100
970	228	167	3	1	7	61	100
971	1937	38	12	1	7	55	100
972	166	166	100	100	100	100	100
973	166	170	13	1	100	1	100
974	166	170	1	1	100	1	100
975	166	172	16	1	1	4	100
976	166	177	8	1	14	2	100
977	23	169	100	100	100	100	100
978	23	173	14	100	100	2	100
979	23	174	8	100	1	4	100
980	23	176	100	100	1	4	100
981	1931	88	100	100	100	63	100
982	1927	1	3	1	100	2	100
983	1935	9	3	100	100	100	100
984	1929	168	100	100	100	7	100
985	1932	1	11	1	1	3	100
986	1938	16	10	1	1	10	100
987	357	25	3	100	100	100	18
988	1933	10	1	100	100	7	100
989	2248	19	8	1	100	1	100
991	1934	18	100	100	100	2	100
992	20	178	100	100	100	2	100
993	14	51	37	1	2	41	100
994	266	1	11	1	1	3	16
995	166	24	1	100	1	2	100
996	1548	19	8	1	7	3	1
997	266	118	10	1	1	3	100
998	14	19	1	1	1	3	100
999	266	118	11	1	1	3	100
1000	23	47	14	1	7	22	100
1001	266	117	11	1	1	3	100
1002	291	1	4	1	7	24	100
1003	23	40	13	100	7	1	100
1004	854	19	8	100	1	18	100
1005	22	5	11	100	100	2	100
1006	1238	10	13	100	7	20	100
1007	285	1	11	1	100	2	100
1008	511	1	8	1	1	3	100
1009	284	1	3	1	1	3	100
1010	266	38	12	1	7	15	100
1011	284	19	8	1	7	9	100
1012	266	1	11	1	23	3	100
1016	20	15	3	100	100	60	100
1017	294	10	3	100	10	60	1
1018	266	1	11	1	1	3	1
1019	266	10	11	100	1	3	100
1020	281	10	13	100	100	7	17
1021	294	10	3	100	100	2	100
1022	21	29	11	100	100	7	100
1023	1549	36	11	1	100	7	100
1024	21	36	11	1	100	7	100
1025	288	1	13	1	1	3	2
1026	166	1	1	1	100	2	2
1027	23	19	8	1	7	3	2
1028	22	3	1	100	100	2	2
1029	1321	29	1	100	100	7	7
1030	166	1	11	100	7	3	100
1031	166	1	1	100	7	3	100
1032	166	179	1	100	100	1	100
1033	23	123	14	1	100	1	100
1034	1502	39	11	100	100	100	100
1035	1778	29	8	100	100	7	2
1036	1779	29	8	100	100	7	2
1037	1780	16	10	1	1	10	100
1038	1444	25	3	100	100	100	2
1039	166	39	11	100	7	4	2
1040	166	39	31	100	7	4	100
1041	282	39	11	100	7	4	100
1042	166	39	11	100	7	4	19
1043	166	180	31	100	7	4	100
1044	294	39	31	100	7	4	100
1046	1321	29	3	100	100	7	6
1047	287	25	13	1	1	3	100
1049	23	40	100	100	1	3	100
1050	288	10	1	1	1	3	100
1051	23	10	100	100	1	59	100
1052	228	181	12	1	7	55	100
1053	285	58	1	1	100	2	14
1054	285	10	100	1	1	49	100
1055	287	59	100	1	7	3	100
1056	287	16	3	1	1	3	100
1057	266	29	1	100	100	7	6
1058	288	38	3	1	1	3	100
1059	645	58	10	1	1	10	100
1060	712	42	100	100	10	2	2
1061	1321	15	1	100	100	7	6
1062	1321	5	3	100	100	7	6
1064	294	10	14	100	100	1	6
1065	294	10	3	100	100	1	9
1066	166	183	1	100	100	100	100
1067	1321	184	1	100	100	7	6
1068	20	15	3	100	100	67	100
1069	23	182	100	100	100	2	100
1070	1328	10	14	100	100	1	100
1071	527	5	100	100	100	2	100
1072	538	161	100	100	100	1	100
1073	1328	18	100	100	100	1	100
1074	18	54	100	100	100	2	100
1075	18	5	14	100	100	1	100
1076	536	5	13	100	11	7	100
1077	536	160	14	100	100	1	100
1078	18	54	14	100	100	2	100
1079	22	54	100	100	100	7	100
1080	18	54	100	100	100	7	100
1081	527	14	100	100	100	7	100
1082	17	10	100	100	100	2	100
1083	18	18	100	100	11	1	100
1084	19	90	14	100	100	2	100
1085	18	5	14	100	100	2	100
1086	537	54	14	100	100	1	100
1087	536	160	14	100	100	2	100
1088	537	161	100	100	100	1	100
1089	527	88	14	100	100	7	100
1090	536	18	14	100	100	100	100
1091	536	18	100	100	100	100	100
1092	228	54	100	100	1	22	100
1093	294	10	100	100	14	2	100
1094	294	14	100	100	100	1	100
1095	23	54	13	100	1	4	100
1096	228	38	13	1	7	15	100
1097	228	38	100	1	7	26	100
1098	23	18	100	1	5	6	100
1099	21	4	3	100	100	1	100
1100	284	1	100	1	7	21	100
1101	284	19	8	1	1	31	100
1102	287	1	4	1	7	3	100
1104	287	19	12	1	7	3	100
1105	166	1	11	1	1	22	100
1107	494	1	12	1	7	3	100
1108	23	1	11	1	7	100	100
1109	1516	1	8	1	1	3	100
1110	287	139	8	1	7	1	100
1111	287	47	8	1	7	21	100
1112	290	47	4	1	7	21	100
1113	538	161	14	100	100	1	100
1114	539	161	14	100	100	1	100
1115	20	19	100	1	100	2	100
1116	19	25	14	100	100	2	100
1117	19	25	100	100	100	2	100
1118	290	1	8	1	7	3	100
1119	527	19	100	1	100	1	100
1120	20	25	14	100	100	2	100
1121	20	22	100	1	100	1	100
1122	228	14	3	100	100	100	100
1123	166	5	14	100	100	100	100
1124	1526	40	100	100	7	4	100
1125	509	10	14	100	1	4	100
1126	166	54	14	100	1	22	100
1127	1780	16	1	1	1	10	100
1128	23	10	100	100	100	7	100
1129	291	54	100	100	1	22	100
1130	1516	1	100	1	1	3	100
1131	291	54	14	1	7	20	100
1132	20	98	100	1	1	49	100
1133	1548	1	11	1	7	3	100
1134	1836	89	100	100	7	4	100
1135	1834	25	8	1	2	4	100
1136	515	22	13	1	1	24	100
1137	287	47	100	1	7	3	100
1138	21	22	8	1	16	24	100
1139	23	89	1	100	7	4	100
1140	21	16	24	1	7	6	100
1141	287	36	8	1	7	24	100
1142	290	19	12	1	7	3	100
1143	1548	1	12	1	7	3	100
1144	290	19	4	1	7	3	100
1145	14	33	10	1	2	5	100
1146	284	1	11	1	1	1	100
1147	284	19	12	1	7	53	100
1148	288	1	12	1	7	3	100
1149	290	19	13	1	7	3	100
1150	290	19	12	1	7	8	100
1151	284	19	4	1	1	9	100
1152	166	1	8	1	1	52	100
1153	23	1	11	1	2	23	100
1154	228	10	3	100	1	20	100
1155	529	16	4	1	7	6	100
1156	287	1	9	1	7	1	12
1157	290	19	8	1	7	3	100
1158	1525	36	8	1	7	4	100
1159	529	33	4	1	2	5	100
1160	23	16	13	1	7	6	100
1161	287	1	21	1	7	3	100
1162	284	33	9	1	2	5	100
1163	290	16	13	1	7	8	100
1164	284	25	12	1	7	53	100
1165	288	1	8	1	7	23	100
1166	14	33	9	1	2	5	100
1167	287	19	11	1	7	3	100
1168	266	40	12	100	1	34	100
1169	23	40	11	100	7	3	100
1170	14	33	13	1	2	5	100
1171	287	1	11	1	1	52	100
1172	290	1	4	1	1	39	1
1173	290	19	8	1	7	3	1
1174	529	19	8	1	2	15	100
1175	14	36	8	1	2	24	100
1176	284	1	12	1	1	9	100
1177	290	19	4	1	7	8	100
1178	287	1	13	1	7	3	100
1179	284	1	8	1	7	3	100
1180	284	1	4	1	7	22	100
1181	290	1	10	1	7	3	100
1182	290	19	12	1	7	25	100
1183	291	1	8	1	15	3	100
1184	525	33	8	1	2	5	100
1185	294	1	13	1	7	3	100
1186	291	14	8	100	1	38	100
1187	284	22	8	1	16	24	100
1188	855	33	8	1	2	5	100
1191	14	47	11	1	7	21	100
1192	529	16	12	1	7	6	100
1194	515	25	13	1	2	10	100
1195	287	89	8	1	7	24	100
1196	1516	1	12	1	1	3	100
1197	23	1	9	1	7	3	100
1198	290	78	12	1	7	52	100
1199	284	70	8	1	7	53	100
1200	23	54	14	100	7	22	100
1201	509	10	14	100	7	20	100
1202	23	89	14	100	7	20	100
1203	23	89	14	100	7	4	100
1204	23	89	12	100	7	4	100
1205	294	76	3	1	1	22	100
1206	285	89	12	1	1	22	100
1207	23	38	13	1	7	18	100
1208	291	89	12	1	7	24	100
1209	285	89	8	1	1	22	100
1210	166	10	19	100	1	22	100
1211	228	24	10	1	7	15	100
1212	23	10	14	1	7	20	100
1213	515	19	14	1	2	10	100
1214	288	15	14	1	1	3	100
1215	23	18	14	1	1	3	100
1216	284	19	12	1	1	9	100
1217	288	1	46	1	7	3	100
1218	285	1	12	1	100	2	100
1219	14	16	10	1	1	10	100
1220	291	54	100	100	7	6	100
1221	23	42	3	100	10	2	100
1222	287	25	12	1	7	43	100
1223	228	38	14	1	7	15	100
1224	23	18	19	100	1	18	100
1225	284	19	3	1	1	9	100
1226	228	54	13	1	1	26	100
1227	228	163	13	100	7	20	100
1228	228	47	8	1	7	17	100
1229	14	25	8	1	2	5	100
1230	228	33	100	1	7	15	100
1231	228	19	13	1	7	26	100
1232	14	33	21	1	2	5	100
1233	645	191	10	1	1	10	100
1234	287	192	8	1	1	3	100
1236	14	33	100	1	2	5	100
1237	166	54	8	100	1	49	100
1238	228	54	13	1	7	20	100
1239	288	1	8	100	1	3	23
1240	1820	33	100	1	2	75	100
1241	228	201	13	1	7	20	100
1244	228	5	14	100	100	2	22
1245	166	203	100	1	100	1	100
1246	14	33	24	1	2	5	100
1247	294	194	13	1	7	49	100
1249	228	24	11	1	7	15	100
1250	228	195	14	1	7	17	100
1251	166	39	14	100	7	100	100
1252	166	39	4	100	100	100	100
1253	23	196	14	1	7	17	100
1254	23	19	14	1	7	3	100
1255	23	10	3	100	1	22	100
1256	23	89	13	100	7	20	100
1257	23	69	14	100	1	18	100
1258	266	1	11	1	1	74	100
1259	288	1	35	1	1	3	100
1260	509	163	14	100	7	73	100
1261	509	201	14	100	1	68	100
1262	23	10	3	1	1	4	100
1265	539	86	100	100	100	2	100
1266	23	40	8	100	7	4	100
1267	17	5	1	100	100	1	100
1268	392	25	3	100	100	100	100
1269	294	197	3	100	100	15	100
1270	23	40	12	1	7	4	100
1271	23	10	100	100	1	22	100
1272	285	25	12	1	1	69	100
1273	166	25	3	100	1	4	100
1274	166	10	100	100	7	20	100
1275	23	10	100	100	1	26	100
1276	22	142	100	100	100	70	100
1277	166	10	100	1	7	26	100
1278	166	101	100	100	100	100	12
1279	285	132	8	1	1	9	100
1280	285	10	27	1	1	60	100
1281	285	105	100	100	100	2	100
1282	228	47	100	1	7	17	100
1283	294	10	13	1	7	76	100
1284	23	54	100	100	7	22	100
1286	166	54	1	100	1	18	100
1287	23	89	1	100	7	72	100
1289	23	19	10	1	7	3	100
1291	166	24	1	100	100	2	21
1292	23	199	100	100	1	22	100
1293	228	47	100	1	7	71	100
1294	23	199	100	100	7	22	100
1295	23	1	1	100	100	2	100
1296	228	198	100	1	7	15	100
1297	228	69	3	100	1	20	100
1298	23	15	1	100	100	7	100
1299	228	124	11	100	1	20	100
1300	23	40	11	100	7	15	100
1301	228	1	12	1	7	43	100
1302	284	19	8	1	21	33	100
1303	23	10	13	100	7	2	100
1304	228	18	14	1	7	15	100
1305	645	16	100	1	1	45	100
1306	285	1	8	100	7	3	100
1307	294	54	13	100	1	59	100
1308	294	18	14	100	7	20	100
1309	515	54	13	100	7	20	100
1311	294	18	14	100	7	79	100
1312	228	209	3	1	7	15	100
1313	228	206	14	1	7	15	100
1314	166	5	3	100	2	77	100
1315	228	54	3	1	7	17	100
1316	287	204	11	1	7	26	100
1318	294	202	100	100	1	3	100
1319	228	47	100	1	7	78	100
1320	23	18	13	100	1	18	100
1321	23	40	14	100	1	4	100
1322	166	205	8	1	1	78	100
1323	23	200	100	100	1	4	100
1324	228	208	8	1	7	3	100
1325	17	207	100	100	100	1	100
1326	228	38	13	1	7	13	100
1327	285	1	12	1	1	2	100
1328	228	1	14	1	7	17	100
1329	284	19	100	1	1	9	100
1330	515	131	100	1	2	51	100
1331	14	33	8	1	2	5	2
1332	288	10	4	1	1	3	100
1333	288	1	100	1	1	5	100
1334	285	1	13	1	100	2	100
1335	22	62	16	100	100	2	100
1336	166	18	14	1	1	3	100
1337	22	60	100	100	100	2	6
1338	285	25	1	1	1	2	100
1339	285	1	4	1	1	22	100
1340	291	122	100	100	7	6	100
1341	539	86	3	100	100	2	100
1343	23	71	13	100	7	6	100
1344	23	18	13	1	7	3	100
1345	23	10	4	100	1	59	100
1346	23	19	13	100	14	1	100
1347	23	19	9	100	1	18	100
1348	23	1	3	1	100	2	100
1349	23	40	100	100	7	4	6
1350	23	40	13	100	7	3	100
1351	645	16	8	1	1	45	100
1352	645	16	10	1	23	10	100
1353	515	131	1	100	2	51	100
1354	228	69	13	1	7	20	100
1355	228	69	19	100	7	55	100
1356	228	38	8	1	7	15	100
1357	228	38	9	1	7	55	100
1358	228	1	1	100	7	15	100
1359	228	25	100	1	7	15	100
1360	294	10	13	1	7	49	100
1361	294	10	13	100	2	2	100
1362	294	10	100	100	1	22	100
1363	285	210	8	1	1	9	100
1364	287	1	8	1	7	80	100
1365	23	10	100	100	24	26	100
1366	284	19	3	1	1	9	24
1367	23	10	100	100	7	4	100
1368	1444	25	1	100	100	100	2
1369	228	24	3	1	7	15	100
1370	166	9	1	100	100	1	2
1371	166	5	3	100	7	3	100
1372	645	16	4	1	1	45	100
1373	294	10	3	1	100	100	100
1375	166	24	1	100	100	2	25
1378	23	161	4	1	25	10	100
1379	23	40	3	100	7	3	100
1381	23	211	14	100	7	22	100
1387	288	122	14	1	7	3	100
1388	290	47	8	1	7	21	1
1389	291	19	9	1	7	3	1
1390	1503	42	1	100	10	2	100
1391	14	25	10	1	2	5	100
1392	14	1	8	1	7	3	100
1393	18	18	3	100	100	1	20
1394	538	161	3	100	100	1	100
1395	527	182	100	100	100	2	100
1399	525	1	8	1	1	3	100
1400	22	54	100	100	100	2	100
1401	22	161	14	100	100	7	100
1402	22	161	3	100	100	1	100
1407	537	161	100	100	100	1	6
1408	537	54	100	100	100	1	100
1409	18	54	4	100	100	2	100
1410	18	187	100	100	100	1	100
1411	874	54	100	100	100	1	100
1412	874	83	100	100	100	1	100
1413	536	160	3	100	100	2	100
1414	536	186	14	100	100	1	100
1415	18	185	100	100	100	1	100
1418	18	18	100	100	100	1	100
1420	645	215	11	1	1	10	100
1421	22	18	14	100	100	2	100
1422	22	3	1	100	100	7	100
1423	22	14	1	100	100	7	100
1424	294	10	3	100	14	2	100
1425	21	10	5	1	100	2	100
1427	17	54	14	100	100	100	100
1428	539	161	100	100	100	1	100
1429	18	161	14	100	100	1	100
1430	18	161	100	100	100	1	100
1431	18	10	14	100	100	2	100
1432	18	18	14	100	100	14	100
1433	18	188	14	100	100	1	100
1436	284	214	8	1	7	53	100
1442	538	5	14	100	26	1	100
1443	527	213	100	100	100	2	100
1444	527	214	14	100	100	100	22
1447	285	189	100	1	1	2	100
1449	20	54	14	100	100	2	100
1450	20	25	100	100	6	1	100
1451	23	18	3	1	5	6	100
1452	166	190	13	1	100	100	100
1453	166	19	8	100	1	31	100
1455	228	54	4	100	1	22	100
1457	228	38	13	1	7	55	100
1458	294	10	14	100	100	1	100
1459	294	10	14	100	100	1	26
1460	266	1	14	1	1	1	100
1461	166	24	14	100	100	2	100
1462	1502	39	14	100	100	100	100
1463	1909	1	8	1	1	3	100
1464	1903	47	8	1	7	21	100
1465	17	25	100	1	100	2	100
1466	18	18	100	100	100	27	100
1467	22	62	4	100	100	2	100
1468	287	19	100	1	7	8	100
1469	166	18	4	1	100	2	100
1470	166	161	100	100	1	7	100
1471	266	88	100	1	1	3	100
1472	494	25	100	100	100	1	100
1473	504	19	4	1	100	2	100
1474	504	19	100	1	100	2	100
1475	285	189	8	1	1	2	100
1479	14	33	8	1	2	85	100
1482	20	218	14	100	100	2	100
1483	17	219	100	100	100	1	100
1484	17	221	100	100	100	1	100
1485	166	39	5	100	7	4	100
1487	166	39	1	100	7	4	100
1488	166	39	31	100	7	4	2
1489	287	36	8	1	2	24	2
1490	166	39	13	100	7	4	100
1491	166	39	13	100	100	100	1
1493	288	222	14	1	7	3	100
1494	285	1	100	1	1	22	100
1495	285	10	13	1	1	49	100
1496	285	69	100	1	1	22	100
1497	285	95	13	1	1	22	100
1498	285	96	13	1	1	49	100
1499	1517	218	14	100	100	2	100
1500	228	10	47	1	1	2	100
1501	1548	1	8	1	7	3	29
1504	166	3	3	100	100	100	2
1505	1328	10	100	100	100	7	100
1506	23	193	13	100	7	81	27
1507	266	1	11	1	1	82	100
1508	23	18	13	100	1	83	100
1509	23	40	11	100	7	84	100
1510	279	25	100	100	100	1	100
1511	23	1	1	1	1	3	2
1512	21	39	3	100	7	4	16
1513	166	39	3	100	7	4	100
1514	166	39	11	100	7	86	100
1515	17	57	3	100	100	2	100
1516	20	98	3	1	1	49	100
1517	20	76	13	1	100	2	100
1518	20	98	13	1	1	49	100
1519	285	58	1	1	100	2	29
1526	504	25	100	100	100	27	100
1527	504	25	100	1	100	27	100
1528	504	25	1	1	100	2	100
1529	515	54	13	1	2	34	100
1530	509	18	14	100	1	18	100
1531	519	54	14	100	1	4	100
1532	509	54	14	100	1	2	100
1533	515	78	14	100	100	2	100
1534	534	19	8	1	100	2	100
1535	504	83	100	100	100	7	100
1536	289	69	11	1	1	3	100
1537	285	97	100	1	1	49	100
1538	294	57	100	1	7	7	100
1539	294	18	13	100	100	2	100
1540	285	57	14	1	1	49	100
1541	515	54	14	100	100	2	100
1542	294	101	100	1	100	7	100
1543	285	69	13	1	1	22	100
1544	661	25	1	100	100	2	100
1545	666	35	8	1	100	7	100
1546	667	58	100	1	100	2	100
1547	663	58	100	1	100	2	100
1548	285	115	100	1	1	49	100
1549	515	18	14	100	100	2	100
1550	285	57	100	1	1	49	100
1551	285	54	100	1	1	49	100
1552	166	126	13	1	100	100	100
1553	1277	88	100	100	100	2	100
1554	290	47	13	1	7	21	100
1555	21	36	8	1	7	38	100
1556	1329	49	13	100	7	20	100
1557	1330	29	12	100	100	7	100
1558	515	19	100	1	2	10	100
1559	1331	25	1	100	100	2	100
1560	228	38	13	1	7	1	100
1561	228	38	44	1	7	1	100
1562	23	19	44	1	7	3	100
1563	285	25	44	1	100	32	100
1564	1321	29	44	100	100	7	100
1565	294	159	44	100	100	7	100
1566	668	25	1	100	100	2	100
1567	23	223	13	100	1	22	100
1568	17	224	100	100	100	42	100
1569	23	225	12	100	1	4	100
1570	22	224	100	100	100	2	100
1574	1223	16	8	1	7	3	100
1575	292	1	12	1	7	6	100
1576	293	25	3	1	100	2	100
1577	502	1	8	1	1	3	100
1578	509	1	8	1	1	31	100
1579	513	36	5	1	100	1	100
1580	286	1	3	1	100	2	100
1581	286	18	3	1	100	2	100
1582	498	1	11	1	1	3	100
1583	228	10	100	1	1	49	100
1584	285	10	100	1	100	49	100
1585	294	101	3	1	100	7	100
1586	294	10	13	1	7	7	100
1587	660	1	11	1	1	3	100
1588	662	25	4	1	100	2	100
1589	286	1	100	1	100	2	100
1590	671	1	8	1	1	3	100
1591	20	98	14	1	1	49	100
1592	20	116	100	1	100	2	100
1593	285	10	14	1	1	49	100
1595	1238	10	13	1	7	20	100
1596	1324	16	10	1	1	45	2
1597	1325	1	1	1	1	3	100
1598	1326	1	8	1	100	2	100
1599	166	15	44	1	100	1	100
1600	166	1	5	1	1	3	100
1601	21	1	13	1	1	3	100
1602	166	1	44	1	100	2	100
1603	294	10	13	1	7	22	100
1613	285	1	21	1	1	10	100
1615	288	122	1	1	7	3	100
1621	1548	1	12	13	7	3	100
1632	228	18	100	1	7	15	100
1645	228	54	100	100	100	1	100
1658	23	89	100	100	7	20	100
1659	228	124	14	100	1	20	100
1661	23	89	3	100	7	4	100
1663	23	174	11	100	1	4	100
1664	515	54	100	1	7	20	100
1667	23	174	100	100	1	4	100
1675	23	225	100	100	1	4	100
1687	290	1	12	1	7	3	100
1693	284	1	8	1	1	1	100
1696	875	1	8	1	7	3	100
1700	23	1	8	1	7	23	100
1705	875	1	11	1	7	3	100
1720	294	58	100	100	7	20	100
1724	294	49	100	100	7	20	100
1727	23	54	100	100	7	18	100
1805	288	122	11	1	7	3	100
1809	23	40	1	1	7	4	100
1816	288	122	8	1	7	3	100
1819	166	9	3	100	100	3	100
1845	285	105	1	100	100	2	100
1847	288	19	3	1	1	3	100
1859	294	250	46	100	7	81	100
1869	288	40	1	1	7	3	100
1872	294	10	1	100	100	1	100
1878	166	15	8	1	100	1	100
1882	23	42	13	100	10	2	100
1890	294	10	14	100	1	22	100
1900	23	40	11	100	7	4	100
1902	166	54	1	100	1	22	22
1931	228	10	14	1	7	26	100
1958	23	54	100	100	100	2	100
1966	294	10	13	1	7	7	35
1968	166	283	14	1	100	1	100
1974	288	19	21	100	1	22	100
1993	166	39	11	100	100	100	1
1994	22	3	44	100	100	2	2
1995	22	3	44	100	100	2	100
1996	166	25	42	100	100	100	1
1997	166	9	44	100	100	100	100
1998	166	9	44	100	100	1	100
1999	166	10	100	100	100	7	100
2001	281	9	1	100	100	100	100
2002	282	9	1	100	100	100	2
2004	294	10	44	100	100	7	100
2005	509	54	3	100	7	20	100
2006	509	10	29	100	100	17	100
2007	523	54	100	100	3	100	100
2008	535	82	3	100	100	2	100
2009	543	25	3	100	100	100	100
2010	546	10	14	100	100	7	100
2011	661	25	1	100	100	2	2
2012	670	25	3	100	100	100	2
2013	1236	5	100	100	100	1	100
2014	1327	5	100	100	100	1	100
2015	1327	5	100	100	14	1	100
2016	1550	3	44	100	100	2	2
2017	1224	1	8	1	1	3	100
2018	507	14	100	100	100	1	100
2027	294	15	100	100	100	1	100
2032	294	10	14	100	100	19	10
2047	166	15	1	1	100	1	100
2050	23	19	4	1	100	2	100
2152	294	130	1	100	100	2	100
2154	14	19	100	1	1	3	100
2155	23	290	14	1	100	1	100
2156	23	19	46	100	1	18	100
2157	166	1	21	1	1	40	100
2158	166	24	44	100	100	2	100
2159	228	10	19	100	7	15	100
2160	228	38	4	1	7	26	100
2161	285	1	17	1	2	10	100
2162	285	74	27	100	7	10	100
2163	285	1	17	1	100	2	100
2164	288	2	17	100	1	3	100
2165	291	1	23	1	7	2	100
2166	294	29	3	100	41	7	100
2167	294	29	44	100	100	7	100
2168	294	29	100	100	100	7	2
2169	294	29	44	100	100	7	2
2170	294	10	14	1	7	7	100
2171	1503	42	100	100	10	2	100
2172	815	25	3	100	100	100	1
2187	166	39	100	100	7	4	100
2190	288	19	8	1	1	3	100
2192	166	9	8	100	100	1	100
2193	166	9	21	100	100	100	100
2194	166	9	44	100	100	1	2
2195	23	123	14	100	100	17	100
2196	166	203	3	1	100	1	100
2197	166	54	14	100	1	59	100
2198	166	203	14	1	100	1	100
2199	166	16	13	100	1	49	100
2206	1526	40	1	100	7	4	100
2236	294	15	14	100	100	7	100
2244	23	1	8	1	7	6	1
2248	284	1	13	1	1	1	100
2256	284	1	10	1	7	3	100
2258	21	1	12	1	7	3	100
2277	284	19	8	1	7	3	100
2289	284	19	13	1	1	9	100
2292	875	1	13	1	7	21	100
2302	287	19	13	1	7	3	100
2313	14	1	8	1	1	47	100
2323	290	1	8	1	7	39	100
2339	288	25	46	1	7	3	100
2349	14	33	46	1	7	5	100
2351	228	47	13	1	7	21	100
2352	287	47	14	1	7	21	100
2364	291	16	13	1	7	41	100
2368	228	38	46	1	7	15	100
2395	529	1	8	1	7	122	2
2400	291	16	8	1	7	125	100
2431	288	1	11	1	7	3	100
2438	290	1	13	1	7	3	100
2442	875	25	4	1	7	3	100
2445	284	19	12	1	7	9	100
2448	290	19	11	1	7	3	100
2450	166	1	11	1	1	52	100
2451	529	1	4	1	7	15	2
2457	291	19	8	1	7	3	100
2460	1901	25	8	1	2	10	100
2465	287	36	12	1	2	24	100
2467	1901	25	13	1	2	10	100
2473	21	22	8	1	34	93	100
2479	285	192	8	1	7	1	100
2480	23	40	100	100	1	34	100
2538	23	124	100	100	7	4	6
2548	280	25	100	100	100	1	100
2549	288	1	17	1	1	3	100
2550	286	25	21	1	100	2	100
2551	288	22	24	1	1	3	100
2552	288	69	21	1	1	3	100
2553	22	60	21	100	100	2	100
2554	14	19	17	1	5	2	100
2555	544	3	1	100	100	2	100
2556	527	161	3	100	13	2	100
2557	533	80	100	100	100	1	100
2558	20	19	31	1	100	2	15
2559	285	10	13	1	7	7	100
2560	294	99	14	100	100	7	100
2561	285	10	100	1	7	22	100
2562	294	102	100	1	1	49	100
2563	23	2	17	1	1	3	100
2564	288	2	21	1	1	3	100
2565	166	9	17	100	100	100	100
2566	875	1	4	1	7	15	2
2567	876	1	8	1	1	3	100
2568	228	38	41	1	7	20	100
2569	228	120	12	1	7	43	100
2570	509	54	8	100	1	20	100
2571	645	16	10	1	18	10	100
2572	166	121	13	1	7	3	100
2573	166	25	42	100	19	100	1
2574	14	19	8	3	2	5	100
2575	1278	18	100	100	100	2	100
2576	291	122	12	100	7	6	100
2577	294	54	100	100	100	2	100
2578	288	1	8	1	7	25	100
2579	23	54	1	100	1	4	100
2580	285	25	100	100	100	2	100
2581	23	47	12	1	7	17	100
2582	23	225	14	100	1	4	100
2583	283	1	3	1	1	3	100
2584	266	1	11	9	1	3	100
2585	515	131	12	100	2	51	100
2586	294	5	13	100	100	7	100
2587	22	60	13	100	100	2	100
2588	294	10	100	1	7	26	100
2589	1304	133	3	1	7	48	100
2590	23	1	100	1	7	6	100
2591	1237	18	14	100	100	1	8
2592	1320	10	3	1	7	17	100
2593	23	40	14	100	7	4	100
2594	23	42	100	2	10	2	100
2595	1320	153	3	1	7	17	100
2596	23	40	11	100	7	4	2
2597	166	154	3	100	1	22	100
2598	228	1	12	1	7	55	100
2599	515	131	13	1	2	51	100
2600	228	25	1	1	7	51	100
2601	228	40	13	100	7	4	100
2602	645	155	10	1	1	10	100
2603	1238	156	13	1	7	20	100
2604	228	10	100	100	1	59	100
2605	285	5	1	100	100	100	100
2606	285	157	10	1	1	60	100
2607	266	158	11	1	1	3	2
2608	294	10	19	10	100	7	100
2609	294	9	3	100	100	2	100
2610	23	89	11	100	7	4	100
2611	288	122	14	3	7	3	100
2612	23	89	44	100	7	4	100
2613	23	57	100	100	7	6	100
2614	23	40	100	100	1	20	100
2615	523	10	13	100	100	1	100
2616	509	5	14	100	1	68	100
2617	291	122	44	100	7	6	100
2618	294	240	100	100	7	3	100
2619	291	38	13	100	7	26	100
2620	166	9	3	100	100	1	100
2621	1595	40	13	100	7	4	100
2622	288	226	100	1	1	3	100
2623	294	35	100	1	100	1	100
2624	166	227	4	1	100	1	100
2625	1613	88	8	100	100	19	100
2626	23	201	8	100	1	4	100
2627	507	1	100	100	100	19	100
2628	166	27	44	100	100	100	2
2629	294	69	14	100	100	1	6
2630	23	201	100	100	1	4	100
2631	21	35	100	1	100	7	100
2632	166	50	12	1	100	1	100
2633	21	1	13	1	1	20	100
2634	1613	88	8	100	100	1	100
2635	1614	38	13	1	7	15	100
2636	20	15	3	1	100	1	100
2637	228	228	12	1	7	15	100
2638	23	54	13	1	7	1	100
2639	294	296	3	100	7	20	2
2640	228	261	13	1	7	1	100
2641	23	15	44	100	100	7	100
2642	23	10	54	100	7	18	100
2643	20	19	31	1	100	2	100
2644	1234	3	44	100	100	2	100
2645	22	60	100	2	100	2	100
2646	228	47	12	1	7	26	100
2647	23	216	11	100	7	4	2
2648	228	38	44	1	7	26	100
2649	23	225	14	100	1	3	100
2650	23	105	44	100	100	2	100
2651	23	40	13	2	7	4	100
2652	294	130	3	2	100	2	100
2653	166	1	44	3	100	2	100
2654	288	10	3	1	1	3	100
2655	1444	25	3	100	100	100	100
2656	23	40	44	1	7	4	100
2657	23	1	1	1	100	2	100
2658	22	3	44	100	100	56	100
2659	228	38	12	1	15	26	100
2660	294	10	14	100	7	22	100
2661	294	57	13	100	1	2	100
2662	287	1	12	1	7	15	2
2663	266	1	11	1	1	66	100
2664	228	54	3	100	100	1	100
2665	285	229	19	1	1	22	100
2666	285	10	13	1	7	49	100
2667	20	18	100	1	1	49	100
2668	228	54	100	100	1	49	100
